gameid,inning,half,batting_team,defense_team,player,base,result,balls,strikes,outs
624391,3,top,Lancaster Stormers,Staten Island Ferry Hawks,Nick Lucky,2,SB,1,0,2
624391,3,bottom,Staten Island Ferry Hawks,Lancaster Stormers,Eddy Diaz,2,SB,2,2,1
624391,5,bottom,Staten Island Ferry Hawks,Lancaster Stormers,Mark Contreras,2,SB,1,0,1
624391,5,bottom,Staten Island Ferry Hawks,Lancaster Stormers,Eddy Diaz,3,SB,1,0,1
624391,6,top,Lancaster Stormers,Staten Island Ferry Hawks,Scott Kelly,2,SB,1,1,2
624392,1,top,Lancaster Stormers,Staten Island Ferry Hawks,Joseph Carpenter,3,SB,1,0,3
624392,5,bottom,Staten Island Ferry Hawks,Lancaster Stormers,Cristhian Rodriguez,2,SB,1,0,2
624392,5,bottom,Staten Island Ferry Hawks,Lancaster Stormers,Vaun Brown,3,SB,1,0,2
624454,1,top,Lexington Legends,Charleston Dirty Birds,Dylan Rock,2,SB,0,2,2
624454,1,top,Lexington Legends,Charleston Dirty Birds,Xane Washington,2,CS,3,2,2
624454,1,top,Lexington Legends,Charleston Dirty Birds,Xane Washington,3,SB,1,2,3
624454,2,top,Lexington Legends,Charleston Dirty Birds,Brian Fuentes,2,SB,3,2,0
624454,4,top,Lexington Legends,Charleston Dirty Birds,Ryan McCarthy,2,SB,0,1,2
624454,4,top,Lexington Legends,Charleston Dirty Birds,Ryan McCarthy,3,SB,1,2,2
624454,4,top,Lexington Legends,Charleston Dirty Birds,Andy Atwood,2,SB,1,1,3
624454,6,top,Lexington Legends,Charleston Dirty Birds,Xane Washington,3,SB,2,2,2
624454,6,bottom,Charleston Dirty Birds,Lexington Legends,Joseph Rosa,2,SB,2,0,2
624455,2,top,Lexington Legends,Charleston Dirty Birds,Xane Washington,2,SB,2,0,1
624455,2,top,Lexington Legends,Charleston Dirty Birds,Ryan McCarthy,3,SB,2,2,3
624455,4,top,Lexington Legends,Charleston Dirty Birds,Xane Washington,2,SB,1,1,2
624455,6,top,Lexington Legends,Charleston Dirty Birds,Ryan McCarthy,2,SB,1,2,2
624455,7,top,Lexington Legends,Charleston Dirty Birds,Brady Whalen,2,SB,1,1,1
624455,9,top,Lexington Legends,Charleston Dirty Birds,Ryan McCarthy,2,SB,3,1,2
