#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
22.0,Jun 176:34 PM,Lancaster,Long Island,4-8,"Griffin, D","Green, M",final|,18,22,0.0188,0.5244
22.0,Jun 176:37 PM,Charleston,S Maryland,7-18,"Martin, G","Henriquez, J",final|,17,22,0.0,
22.0,Jun 137:02 PM,Hagerstown,Staten Island,6-8,"Barringer, S","Picone, D",final|,22,22,0.0,0.012
22.0,Jun 136:34 PM,Gastonia,York,2-3,"Denoyer, N","Hernández, A",final|,19,22,0.0004,0.4448
22.0,Jun 276:37 PM,Lancaster,High Point,4-7,"Branche, S","Diehl, P",final|,19,23,0.0188,0.9734
22.0,Jun  67:01 PM,Charleston,Gastonia,4-15,"Sheffield, J","Lebron, D",final|,18,22,0.0,0.0004
22.0,Jun 106:39 PM,Long Island,Charleston,8-5,"Hillman, J","Henriquez, J",final|,23,22,0.5244,0.0
22.0,Jun 106:48 PM,Lancaster,Lexington,15-5,"Bremer, N","Laio, N",final|,20,22,0.0188,0.0262
23.0,Jun 146:35 PM,Gastonia,York,5-13,"Scott, W","Hartman, M",final|,20,23,0.0004,0.4448
23.0,Jun 216:48 PM,Long Island,Lancaster,7-8,"Bremer, N","Hillman, J",final|,24,22,0.5244,0.0188
23.0,Jun 216:03 PM,Charleston,Hagerstown,6-7,"Kelly, R","Alvarez, M",final|,19,22,0.0,0.0
23.0,Jun  77:03 PM,Charleston,Gastonia,6-7,"Underwood Jr., D","Hill, J",final|,20,23,0.0,0.0004
23.0,Jun 186:41 PM,Charleston,S Maryland,1-16,"Kahaloa, I","Suriel, E",final|,21,23,0.0,
23.0,Jun 186:36 PM,Lancaster,Long Island,1-6,"Alintoff, J","Skirrow, N",final|,21,23,0.0188,0.5244
23.0,Jun 1112:09 PM,Long Island,Charleston,4-5,"Reyes, S","Nelson, B",final|,25,23,0.5244,0.0
23.0,Jun 286:36 PM,Lancaster,High Point,3-5,"Scolaro, J","Green, M",final|,22,24,0.0188,0.9734
23.0,Jun 146:43 PM,Hagerstown,Staten Island,1-0,"Kickham, M","McSweeney, M",final|,23,23,0.0,0.012
23.0,Jun 116:46 PM,Lancaster,Lexington,1-4,"Wicklander, P","Green, M",final|,23,23,0.0188,0.0262
24.0,Jun 222:05 PM,Charleston,Hagerstown,2-4,"Richardson, D","Romero, L",final|,22,23,0.0,0.0
24.0,Jun 151:05 PM,Gastonia,York,14-7,"Blanton, B","Denz, D",final|,21,24,0.0004,0.4448
24.0,Jun 126:46 PM,Lancaster,Lexington,2-4,"Eastman, C","Skirrow, N",final|,24,24,0.0188,0.0262
24.0,Jun  84:02 PM,Charleston,Gastonia,11-8,"Lusk, L","Wilson, J",final|,23,24,0.0,0.0004
24.0,Jun 196:34 PM,Lancaster,Long Island,4-15,"Beede, T","Alexy, A",final|,25,24,0.0188,0.5244
24.0,Jun 222:03 PM,Long Island,Lancaster,6-7,"Rees, J","Asa, J",final|,26,23,0.5244,0.0188
24.0,Jun 151:47 PM,Hagerstown,Staten Island,1-2,"Baker, R","Martinez, Q",final|,24,24,0.0,0.012
24.0,Jun 126:41 PM,Long Island,Charleston,4-3,"Williams, P","Medoro, B",final|,27,24,0.5244,0.0
24.0,Jun 294:06 PM,Lancaster,High Point,12-0,"Skirrow, N","Gilbert, J",final|,26,25,0.0188,0.9734
24.0,Jun 196:35 PM,Charleston,S Maryland,,,,Postponed to:n/a,24,24,0.0,
25.0,Jun 136:40 PM,Lancaster,Charleston,15-6,"Stashak, C","Reyes, S",final|,27,25,0.0188,0.0
25.0,Jun 246:37 PM,Staten Island,Long Island,8-1,"Allegretti, C","Alintoff, J",final|,25,25,0.012,0.5244
25.0,Jun 246:31 PM,S Maryland,Hagerstown,11-2,"Kahaloa, I","Minaya, J",final|,24,24,,0.0
25.0,Jul  16:36 PM,Gastonia,High Point,2-0,"Wilson, J","Doyle, T",final|,22,26,0.0004,0.9734
